Order_ID,Order_Date,Customer_ID,Country,Region,City,Category,Product,Gender,Size,Sales_Channel,Customer_Segment,Payment_Method,Campaign,Quantity,Unit_Price_USD,Discount_Rate,Revenue_USD,Cost_USD,Profit_USD,Customer_Rating,Returned,Order_Status,Customer_Age,Shipping_Days,Inventory_Available,Marketing_Spend_USD,Customer_Lifetime_Value_USD
ORD-100000,1970-01-01 05:00:45.428,CUST-10769,India,South Asia,Mumbai,Running,Solarboost,Male,38,Wholesale,Consumer,Bank Transfer,Eid Campaign,1.0,212.61,20.0,170.09,125.94,44.15,5,Yes,Returned,40,2,770,82617.09,831.82
ORD-100001,1970-01-01 05:00:45.374,CUST-10189,Pakistan,South Asia,Karachi,Running,Ultraboost,Unisex,36,Wholesale,Consumer,Bank Transfer,Eid Campaign,2.0,101.85,5.0,193.52,121.36,72.16,3,No,Completed,64,14,670,55593.68,764.12
ORD-100002,1970-01-01 05:00:44.940,CUST-10897,Saudi Arabia,Middle East,Riyadh,Training,Everyday,Male,43,Marketplace,Premium Consumer,Debit Card,Summer Sale,1.0,134.59,0.0,134.59,94.42,40.17,4,No,Completed,37,5,728,8972.69,698.27
ORD-100003,1970-01-01 05:00:45.705,CUST-10401,Germany,Europe,Berlin,Running,Ultraboost,Female,42,Wholesale,Premium Consumer,Credit Card,Sports Event,1.0,172.49,15.0,146.62,92.46,54.16,3,No,Completed,43,2,302,36755.72,1860.62
ORD-100004,1970-01-01 05:00:45.702,CUST-10216,Australia,Oceania,Sydney,Lifestyle,Samba,Unisex,44,Wholesale,Premium Consumer,Bank Transfer,Summer Sale,1.0,112.75,30.0,78.92,75.57,3.35,5,No,Completed,62,5,427,9099.36,2498.12
ORD-100005,1970-01-01 05:00:45.519,CUST-10230,India,South Asia,Delhi,Running,Adizero,Male,38,Mobile App,Premium Consumer,Digital Wallet,Sports Event,1.0,190.33,20.0,152.26,119.18,33.08,5,No,Completed,58,4,16,31472.5,2361.89
ORD-100006,1970-01-01 05:00:45.654,CUST-10642,Germany,Europe,Munich,Football,Copa,Unisex,44,Online Store,Business,Debit Card,New Year Sale,2.0,108.43,12.59,195.17,105.81,89.36,4,No,Pending,18,3,985,26249.81,1359.54
ORD-100007,1970-01-01 05:00:45.704,CUST-10484,Saudi Arabia,Middle East,Jeddah,Football,F50,Unisex,45,Retail Store,Business,Cash on Delivery,No Campaign,1.0,83.29,0.0,83.29,57.19,26.1,4,No,Completed,40,3,80,39161.25,3147.7
ORD-100008,1970-01-01 05:00:45.748,CUST-10339,Saudi Arabia,Middle East,Jeddah,Running,Solarboost,Male,42,Wholesale,Business,Cash on Delivery,Summer Sale,1.0,150.98,15.0,128.33,74.68,53.65,3,No,Completed,47,4,183,83809.02,1757.54
ORD-100009,1970-01-01 05:00:45.219,CUST-10317,Australia,Oceania,Melbourne,Training,Rapidmove,Male,42,Wholesale,Business,Cash on Delivery,Sports Event,2.0,139.75,0.0,279.5,143.33,136.17,4,No,Completed,54,4,466,15462.48,1893.81
ORD-100010,1970-01-01 05:00:45.668,CUST-10612,Usa,North America,Los Angeles,Lifestyle,Superstar,Male,45,Mobile App,Consumer,Credit Card,No Campaign,1.0,111.39,0.0,111.39,53.61,57.78,3,No,Completed,34,3,282,30953.36,617.1
ORD-100011,1970-01-01 05:00:45.791,CUST-10183,Uae,Middle East,Sharjah,Outdoor,Ridgewalker,Male,43,Mobile App,Business,Digital Wallet,New Year Sale,1.0,195.72,10.0,176.15,106.33,69.82,4,No,Completed,34,3,70,26481.17,3001.93
ORD-100012,1970-01-01 05:00:45.161,CUST-10402,Uk,Europe,Birmingham,Lifestyle,Samba,Unisex,44,Marketplace,Consumer,Cash on Delivery,Eid Campaign,1.0,59.93,5.0,56.93,27.55,29.38,2,No,Completed,43,4,89,29966.09,3310.87
ORD-100013,1970-01-01 05:00:45.466,CUST-10610,Uae,Middle East,Sharjah,Training,Dropset,Male,45,Online Store,Business,Cash on Delivery,No Campaign,1.0,116.0,0.0,116.0,59.06,56.94,3,No,Completed,24,4,708,55519.32202743332,3813.96
ORD-100014,1970-01-01 05:00:45.257,CUST-10130,Saudi Arabia,Middle East,Dammam,Football,Copa,Unisex,36,Wholesale,Premium Consumer,Digital Wallet,No Campaign,1.0,122.18,30.0,85.53,73.62,11.91,4,No,Completed,37,4,641,24809.02,4529.65
ORD-100015,1970-01-01 05:00:45.417,CUST-10895,India,South Asia,Delhi,Basketball,Dame,Male,38,Online Store,Business,Digital Wallet,No Campaign,2.0,70.1,0.0,140.2,60.63,79.57,5,Yes,Returned,63,5,591,94286.84,3853.42
ORD-100016,1970-01-01 05:00:45.265,CUST-10459,Uae,Middle East,Abu Dhabi,Football,F50,Unisex,43,Retail Store,Business,Debit Card,Sports Event,99.0,134.75,15.0,114.54,81.91,32.63,5,No,Completed,39,1,957,42300.12,1255.14
ORD-100017,1970-01-01 05:00:45.824,CUST-10658,Uk,Europe,Birmingham,Training,Everyday,Female,38,Retail Store,Consumer,Credit Card,Black Friday,1.0,138.13,10.0,124.32,80.75,43.57,4,No,Completed,21,3,364,11854.27,1254.71
ORD-100018,1970-01-01 05:00:45.378,CUST-10115,Pakistan,South Asia,Lahore,Lifestyle,Gazelle,Male,36,Retail Store,Consumer,Credit Card,Black Friday,1.0,150.64,0.0,150.64,105.01,45.63,4,No,Pending,38,5,202,47032.03,4583.93
ORD-100019,1970-01-01 05:00:45.497,CUST-10489,India,South Asia,Chennai,Lifestyle,Gazelle,Male,45,Retail Store,Business,Bank Transfer,New Year Sale,1.0,142.86,0.0,142.86,66.69,76.17,5,No,Completed,19,4,230,18850.97,3971.65
ORD-100020,1970-01-01 05:00:45.760,CUST-10035,Australia,Oceania,Sydney,Football,F50,Male,38,Mobile App,Premium Consumer,Digital Wallet,Eid Campaign,1.0,67.76,5.0,64.37,40.36,24.01,2,Yes,Returned,62,7,598,22005.0,3933.01
ORD-100021,1970-01-01 05:00:45.128,CUST-10149,Australia,Oceania,Sydney,Outdoor,Terrex,Female,38,Online Store,Consumer,Debit Card,Summer Sale,1.0,178.41,10.0,160.57,109.73,50.84,4,No,Pending,39,4,738,28861.62,3626.6
ORD-100022,1970-01-01 05:00:45.302,CUST-10866,Australia,Oceania,Melbourne,Football,F50,Female,42,Online Store,Premium Consumer,Bank Transfer,No Campaign,1.0,89.42,30.0,62.59,48.85,13.74,5,No,Completed,57,4,5,12913.61,1409.29
ORD-100023,1970-01-01 05:00:45.118,CUST-10640,Pakistan,South Asia,Karachi,Outdoor,Terrex,Male,43,Mobile App,Premium Consumer,Debit Card,Eid Campaign,1.0,154.63,0.0,154.63,63.11,91.52,5,No,Completed,42,4,356,72251.33,4252.31
