Order_ID,Order_Date,Customer_ID,Country,Region,City,Category,Product,Gender,Size,Sales_Channel,Customer_Segment,Payment_Method,Campaign,Quantity,Unit_Price_USD,Discount_Rate,Revenue_USD,Cost_USD,Profit_USD,Customer_Rating,Returned,Order_Status,Customer_Age,Shipping_Days,Inventory_Available,Marketing_Spend_USD,Customer_Lifetime_Value_USD,Anomaly_Flag,Anomaly_Status,Revenue_Per_Unit,Profit_Margin,Profit_Margin_Percentage,Order_Year,Order_Month_Number,Month_Name,Quarter,Quarter_Name,Day_Name,Customer_Value_Category,Return_Flag,Discount_Category,Customer_Order_Value,RFM_Score,Customer_Segment_RFM
ORD-100000,1970-01-01 05:00:45.428,CUST-10769,India,South Asia,Mumbai,Running,Solarboost,Male,S,Wholesale,Consumer,Bank Transfer,Eid Campaign,1,212.61,0.0,170.09,125.94,44.15,5.0,Yes,Returned,39.0,3.0,770,82617.09,831.82,1,Normal,170.09,0.2595684637544829,25.95684637544829,1970,1,January,1,Q1,Thursday,Medium Value,1,No Discount,170.09,9,Loyal Customers
ORD-100001,1970-01-01 05:00:45.374,CUST-10189,Pakistan,South Asia,Karachi,Running,Ultraboost,Unisex,XS,Wholesale,Consumer,Bank Transfer,Eid Campaign,2,101.85,0.0,193.52,121.36,72.16,3.0,No,Completed,64.0,14.0,670,55593.68,764.12,1,Normal,96.76,0.37288135593220334,37.28813559322033,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,193.52,14,Champions
ORD-100002,1970-01-01 05:00:44.940,CUST-10897,Saudi Arabia,Middle East,Riyadh,Training,Everyday,Unknown,L,Marketplace,Premium Consumer,Debit Card,Summer Sale,1,134.59,0.0,134.59,94.42,40.17,4.0,No,Completed,37.0,5.0,728,8972.69,698.27,1,Normal,134.59,0.29846199569061593,29.846199569061593,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,134.59,8,Potential Customers
ORD-100003,1970-01-01 05:00:45.705,CUST-10401,Germany,Europe,Berlin,Running,Ultraboost,Female,M,Wholesale,Premium Consumer,Credit Card,Sports Event,1,172.49,0.0,146.62,92.46,54.16,3.0,No,Completed,43.0,2.0,302,36755.72,1860.62,1,Normal,146.62,0.36939026053744367,36.939026053744364,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,146.62,7,Potential Customers
ORD-100004,1970-01-01 05:00:45.702,CUST-10216,Australia,Oceania,Sydney,Lifestyle,Samba,Unisex,XL,Wholesale,Premium Consumer,Bank Transfer,Summer Sale,1,112.75,0.0,78.92,75.57,3.35,5.0,No,Completed,62.0,5.0,427,9099.36,2498.12,1,Normal,78.92,0.042448048656867715,4.244804865686771,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,78.92,8,Potential Customers
ORD-100005,1970-01-01 05:00:45.519,CUST-10230,India,South Asia,Delhi,Running,Adizero,Male,S,Mobile App,Premium Consumer,Digital Wallet,Sports Event,1,190.33,0.0,152.26,119.18,33.08,5.0,No,Completed,58.0,4.0,16,31472.5,2361.89,1,Normal,152.26,0.21725995008538027,21.72599500853803,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,152.26,14,Champions
ORD-100006,1970-01-01 05:00:45.654,CUST-10642,Germany,Europe,Unknown,Football,Copa,Unisex,XL,Online Store,Business,Debit Card,New Year Sale,2,108.43,0.0,195.17,105.81,89.36,4.0,No,Pending,18.0,3.0,985,26249.81,1359.54,1,Normal,97.585,0.4578572526515346,45.78572526515346,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,195.17,4,At Risk
ORD-100007,1970-01-01 05:00:45.704,CUST-10484,Saudi Arabia,Middle East,Jeddah,Football,F50,Unisex,XL,Retail Store,Business,Cash on Delivery,Unknown,1,83.29,0.0,83.29,57.19,26.1,4.0,No,Completed,40.0,3.0,80,39161.25,3147.7,1,Normal,83.29,0.3133629487333413,31.33629487333413,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,83.29,5,At Risk
ORD-100008,1970-01-01 05:00:45.748,CUST-10339,Saudi Arabia,Middle East,Jeddah,Running,Solarboost,Male,L,Wholesale,Business,Cash on Delivery,Summer Sale,1,150.98,0.0,128.33,74.68,53.65,3.0,No,Completed,47.0,4.0,183,83809.02,1757.54,1,Normal,128.33,0.41806280682615127,41.806280682615125,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,128.33,14,Champions
ORD-100009,1970-01-01 05:00:45.219,CUST-10317,Australia,Oceania,Melbourne,Training,Rapidmove,Male,L,Wholesale,Business,Cash on Delivery,Sports Event,2,139.75,0.0,279.5,143.33,136.17,4.0,No,Completed,54.0,4.0,466,15462.48,1893.81,1,Normal,139.75,0.4871914132379248,48.71914132379248,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,279.5,13,Champions
ORD-100010,1970-01-01 05:00:45.668,CUST-10612,Usa,North America,Los Angeles,Lifestyle,Superstar,Male,XL,Mobile App,Consumer,Credit Card,Unknown,1,111.39,0.0,111.39,53.61,57.78,3.0,No,Completed,34.0,3.0,282,30953.36,617.1,1,Normal,111.39,0.5187180177753838,51.87180177753839,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,111.39,10,Loyal Customers
